id,title,description,category,priority,status,pipeline_status,dependencies,notes
1,"Agent A 元帅定义","明确Agent A职责：通读全文、智能切分、分派A1..An、监督质量。定义输入/输出格式、切分规则、监督标准。","Multi-Agent","P0","已完成","done","","agents/agent-a-元帅.md"
2,"Agent A1-An 学徒定义","明确A1..An职责：并行提取、邻里配合（段尾接力/术语通告）、邻里制约（交界验证/重复发现）。定义横向互动规则。","Multi-Agent","P0","已完成","done","1","agents/agent-a1-an-学徒.md"
3,"Agent B 法官定义","明确B职责：全局交叉检查段内遗漏/跨段遗漏/矛盾/低置信度/交界验证。定义否定A的门槛（必须有原文证据）。","Multi-Agent","P0","已完成","done","1,2","agents/agent-b-法官.md"
4,"Agent C 工匠定义","明确C职责：去重合并、逐条处理B的问题、可驳回B误报、按论证逻辑排列。不可删A的任何内容。","Multi-Agent","P0","已完成","done","1,2,3","agents/agent-c-工匠.md"
5,"两层制约关系定义","纵向（A⇄B⇄C）+横向（A1⇄A2⇄A3）的制约规则写入每个Agent文件和CLAUDE.md。","Multi-Agent","P0","已完成","done","1,2,3,4",""
6,"CLAUDE.md项目角色","定义CC端小矮人药剂师角色，指向agents/目录的四Agent架构。","CC集成","P0","已完成","done","5","CLAUDE.md"
7,"Conductor调度规范","项目调度行为规范，Agent A→B→C流水线的操作命令和文件约定。","项目文档","P0","已完成","done","",".claude/commands/Conductor.md"
8,"项目目录结构","创建原料库/知识库(人性/情感/AI/道理)/memory/docs/agents等目录。","项目文档","P0","已完成","done","",""
9,"炼金术士CSS角色","纯CSS+Canvas实现严肃小矮人药剂师：矮个子、皮帽、铜框眼镜、灰白大胡子、皮围裙、铸铁锅。六种动画状态。","前端-动画","P0","已完成","done","","css/style.css + index.html (dwarf DOM)"
10,"Canvas粒子系统","花瓣、绿叶、星光、草药碎粒子。颜色按阶段切换。炉火粒子。60fps。","前端-动画","P1","已完成","done","9","js/alchemist.js"
11,"田园日漫主题CSS","暖米白背景+木质棕+蜂蜜金+草药绿+炉火橙。木纹肌理、羊皮纸纹理、圆润组件。移动端优先。","前端-样式","P0","已完成","done","","css/style.css"
12,"投料口UI","粘贴文本/拖拽文件。草药篮意象。字数统计。","前端-UI","P0","已完成","done","11","index.html + css/style.css"
13,"炼制动画流程","投料→receiving→decomposing→reviewing→extracting→complete，六个状态的过渡动画和进度指示器。","前端-动画","P0","已完成","done","9,10,12","js/alchemist.js + js/pipeline.js"
14,"魔药架-卡片网格","知识卡片响应式网格。显示标题/核心洞见/分类/标签/置信度。卡片弹出动画。","前端-UI","P1","已完成","done","11","js/ui.js + css/style.css"
15,"魔药架-分类筛选与搜索","分类标签栏（人性/情感/AI/道理/全部）。关键词搜索。","前端-UI","P2","已完成","done","14","js/app.js + js/ui.js"
16,"知识卡片详情页","点击卡片展开完整内容/来源/触发场景/原文引用。编辑和删除。","前端-UI","P2","已完成","done","14","js/ui.js (openCard+deleteCard+弹窗)"
17,"IndexedDB存储层","raw_materials和knowledge_cards两张表。增删改查+分类/标签/时间筛选+搜索。","前端-数据","P1","已完成","done","","js/storage.js"
18,"投料→炼制→入库完整流程","用户投料→前端Pipeline模拟三阶段动画→生成知识卡片→IndexedDB存储→魔药架展示。","前端-流程","P0","已完成","done","12,13,17","js/app.js (主流程)"
19,"移动端响应式适配","375px基准，触屏优化，底部导航，手势支持。","前端-适配","P1","已完成","done","11","index.html (viewport + 响应式CSS)"
20,"线上部署","GitHub Pages部署。静态资源优化。部署说明文档。","部署","P2","待实现","draft","19",""
21,"知识卡片→MD文件同步","final状态的知识卡片同步为知识库目录下的MD文件，供CC读取。","CC集成","P1","待实现","draft","17,6","桥接网页端和CC端"
22,"原始文稿梳理","用户现有直播文稿/笔记整理到原料库。盘清有哪些、在哪里、什么格式。","内容","P0","待澄清","draft","","熔炉的燃料，需用户提供"
